timestamp,group,tar,scientific,birdnet,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,tar_add_to_flock
230724-063740,solo,foan,Formicarius analis,Formicarius analis,,0,na,na,,,,0
230724-080225,solo,trco,Trogon collaris,Trogon collaris,,0,na,na,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,mylo,m,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,mylo,f,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,myax,m,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,haru,m,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,haru,f,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,tasc,m,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,tasc,f,,,,0
230724-083037,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,thar,,,,,1
230724-092728,pair,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,f,5,,,0
230724-092728,pair,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,0
230724-105944,pair,sche,Sciaphylax hemimelaena,Myrmeciza hemimelaena,,0,sche,f,,,,0
230724-105944,pair,sche,Sciaphylax hemimelaena,Myrmeciza hemimelaena,,0,sche,,,,,0
230724-125824,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,na,,,,,0
230724-132158,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,na,,,,,0
230725-083057,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,m,2,,,0
230725-083057,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,,,,,1
230725-114906,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,phpy,,,,,0
230725-114906,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,xigu,,,,,1
230725-121531,msf,moni,Monasa nigrifrons,Monasa nigrifrons,,0,moni,u,,,,0
230725-121531,msf,moni,Monasa nigrifrons,Monasa nigrifrons,,0,rani,u,5,,,0
230725-121531,msf,moni,Monasa nigrifrons,Monasa nigrifrons,,0,moni,,,,,1
230727-065504,msf,raca,Ramphocelus carbo,Ramphocelus carbo,,1,raca,u,6,na,,0
230727-065504,msf,raca,Ramphocelus carbo,Ramphocelus carbo,,1,vich,u,2,,,0
230727-065504,msf,raca,Ramphocelus carbo,Ramphocelus carbo,,1,tuoc,u,1,,,0
230727-065504,msf,raca,Ramphocelus carbo,Ramphocelus carbo,,1,xeru,u,1,,,0
230727-065504,msf,raca,Ramphocelus carbo,Ramphocelus carbo,,1,raca,,,,,1
230727-082936,msf,gacy,Galbula cyanescens,Galbula cyanescens,,0,raca,u,,,,0
230727-082936,msf,gacy,Galbula cyanescens,Galbula cyanescens,,0,gacy,,,,,1
230727-085514,solo,moni,Monasa nigrifrons,Monasa nigrifrons,,0,na,,,,,0
230727-104229,pair,toch,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,,0,toch,u,9,,,0
230727-104229,pair,toch,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,,0,toch,,,,,1
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,raca,u,9,,,0
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,raca,u,9,,,0
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,raca,u,9,,,0
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,raca,u,9,,,0
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,raca,u,9,,,0
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,raca,u,9,,,0
230728-082620,msf,euri,Eubucco richardsoni,Eubucco richardsoni,,0,euri,,,,,1
230728-090119,solo,moni,Monasa nigrifrons,Monasa nigrifrons,,0,na,,,,,0
230728-110440,solo,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,na,,,,,0
230728-115051,solo,moni,Monasa nigrifrons,Monasa nigrifrons,,0,na,,,,,0
230729-090321,solo,livo,Lipaugus vociferans,Lipaugus vociferans,,0,na,,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,thar,f,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,myhy,m,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,myhy,f,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,foan,u,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,pifl,f,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,phpy,u,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,myga,u,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,cyli,m,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,myax,m,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,pyst,m,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,thsc,m,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,haru,f,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,euch,m,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,euch,f,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,toas,u,,,,0
230729-101604,msf,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,,1,thsy,,,,,1
230729-115423,pair,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,xigu,u,,,,0
230729-115423,pair,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,xigu,,,,,1
